"Year","Geography","Type of materials diverted","Sources of materials prepared for recycling","GeoCode","Value"
"2022","Quebec","All paper fibres","Residential sources of diverted materials",24,26.5311397522688
"2022","Quebec","All paper fibres","Non-residential sources of diverted materials",24,51.5014885299972
"2022","Quebec","Glass","All sources of diverted materials",24,5.74858277941901
"2022","Quebec","Glass","Residential sources of diverted materials",24,3.04672580494288
"2022","Quebec","Glass","Non-residential sources of diverted materials",24,2.70185697447613
"2022","Quebec","Ferrous metals","All sources of diverted materials",24,3.58709719983811
"2022","Quebec","Ferrous metals","Residential sources of diverted materials",24,3.58709719983811
"2022","Quebec","Ferrous metals","Non-residential sources of diverted materials",24,
"2022","Quebec","Copper and aluminum","All sources of diverted materials",24,0.83310620818105
"2022","Quebec","Copper and aluminum","Residential sources of diverted materials",24,0.83310620818105
"2022","Quebec","Copper and aluminum","Non-residential sources of diverted materials",24,
"2022","Quebec","Mixed metals","All sources of diverted materials",24,0.695043335248374
"2022","Quebec","Mixed metals","Residential sources of diverted materials",24,0.695043335248374
"2022","Quebec","Mixed metals","Non-residential sources of diverted materials",24,
"2022","Quebec","White goods","All sources of diverted materials",24,0.843140853080919
"2022","Quebec","White goods","Residential sources of diverted materials",24,0.826301104168495
"2022","Quebec","White goods","Non-residential sources of diverted materials",24,0.0168397489124233
"2022","Quebec","Electronics","All sources of diverted materials",24,1.98236140108095
"2022","Quebec","Electronics","Residential sources of diverted materials",24,
"2022","Quebec","Electronics","Non-residential sources of diverted materials",24,
"2022","Quebec","Plastics","All sources of diverted materials",24,2.95964354173138
"2022","Quebec","Plastics","Residential sources of diverted materials",24,1.21349998840826
"2022","Quebec","Plastics","Non-residential sources of diverted materials",24,1.74614355332312
"2022","Quebec","Gable top and aseptic containers","All sources of diverted materials",24,0
"2022","Quebec","Gable top and aseptic containers","Residential sources of diverted materials",24,0
"2022","Quebec","Gable top and aseptic containers","Non-residential sources of diverted materials",24,0
"2022","Quebec","Textiles","All sources of diverted materials",24,0.822956222535206
"2022","Quebec","Textiles","Residential sources of diverted materials",24,0.61718833171491
"2022","Quebec","Textiles","Non-residential sources of diverted materials",24,0.205767890820295
"2022","Quebec","Tires","All sources of diverted materials",24,11.2511437476723
"2022","Quebec","Tires","Residential sources of diverted materials",24,
"2022","Quebec","Tires","Non-residential sources of diverted materials",24,
"2022","Quebec","Construction, renovation and demolition","All sources of diverted materials",24,9.89623600469806
"2022","Quebec","Construction, renovation and demolition","Residential sources of diverted materials",24,0
"2022","Quebec","Construction, renovation and demolition","Non-residential sources of diverted materials",24,9.89623600469806
"2022","Quebec","All organic materials","All sources of diverted materials",24,64.6257659923116
"2022","Quebec","All organic materials","Residential sources of diverted materials",24,49.9010203388411
"2022","Quebec","All organic materials","Non-residential sources of diverted materials",24,14.7247456534705
"2022","Quebec","Food waste and source separated organics","All sources of diverted materials",24,31.8706089057127
"2022","Quebec","Food waste and source separated organics","Residential sources of diverted materials",24,27.3609010788166
"2022","Quebec","Food waste and source separated organics","Non-residential sources of diverted materials",24,4.50970782689615
"2022","Quebec","Leaf and yard waste","All sources of diverted materials",24,25.5848842722858
"2022","Quebec","Leaf and yard waste","Residential sources of diverted materials",24,21.7438067498097
"2022","Quebec","Leaf and yard waste","Non-residential sources of diverted materials",24,3.84107752247616
"2022","Quebec","Other organic materials","All sources of diverted materials",24,7.17027281431305
"2022","Quebec","Other organic materials","Residential sources of diverted materials",24,0.796197169468889
"2022","Quebec","Other organic materials","Non-residential sources of diverted materials",24,6.37396030409818
"2022","Quebec","Other materials","All sources of diverted materials",24,0
"2022","Quebec","Other materials","Residential sources of diverted materials",24,0
"2022","Quebec","Other materials","Non-residential sources of diverted materials",24,0
"2022","Ontario","All materials diverted","All sources of diverted materials",35,223.300779976769
"2022","Ontario","All materials diverted","Residential sources of diverted materials",35,
"2022","Ontario","All materials diverted","Non-residential sources of diverted materials",35,
"2022","Ontario","All paper fibres","All sources of diverted materials",35,91.9945953492767
"2022","Ontario","All paper fibres","Residential sources of diverted materials",35,37.7700708822661
"2022","Ontario","All paper fibres","Non-residential sources of diverted materials",35,54.2245244670106
"2022","Ontario","Glass","All sources of diverted materials",35,8.37525557811526
"2022","Ontario","Glass","Residential sources of diverted materials",35,5.16256576014678
"2022","Ontario","Glass","Non-residential sources of diverted materials",35,3.21268981796847
"2022","Ontario","Ferrous metals","All sources of diverted materials",35,8.91385998106604
"2022","Ontario","Ferrous metals","Residential sources of diverted materials",35,4.31365185002002
"2022","Ontario","Ferrous metals","Non-residential sources of diverted materials",35,4.60020813104602
"2022","Ontario","Copper and aluminum","All sources of diverted materials",35,1.61422966044235
"2022","Ontario","Copper and aluminum","Residential sources of diverted materials",35,1.15117371288525
"2022","Ontario","Copper and aluminum","Non-residential sources of diverted materials",35,0.463055947557099
"2022","Ontario","Mixed metals","All sources of diverted materials",35,2.23926941410556
"2022","Ontario","Mixed metals","Residential sources of diverted materials",35,1.0994444648253
"2022","Ontario","Mixed metals","Non-residential sources of diverted materials",35,1.13982494928026
"2022","Ontario","White goods","All sources of diverted materials",35,0.683499082465659
"2022","Ontario","White goods","Residential sources of diverted materials",35,0.469917990667093
"2022","Ontario","White goods","Non-residential sources of diverted materials",35,0.213581091798565
"2022","Ontario","Electronics","All sources of diverted materials",35,3.00643263756615
"2022","Ontario","Electronics","Residential sources of diverted materials",35,
"2022","Ontario","Electronics","Non-residential sources of diverted materials",35,
"2022","Ontario","Plastics","All sources of diverted materials",35,7.88956808453193
"2022","Ontario","Plastics","Residential sources of diverted materials",35,5.90887892954239
"2022","Ontario","Plastics","Non-residential sources of diverted materials",35,1.98068915498954
"2022","Ontario","Gable top and aseptic containers","All sources of diverted materials",35,0.509968569203309
"2022","Ontario","Gable top and aseptic containers","Residential sources of diverted materials",35,0.424456955063383
"2022","Ontario","Gable top and aseptic containers","Non-residential sources of diverted materials",35,0.085511614139926
"2022","Ontario","Textiles","All sources of diverted materials",35,0.261549412384774
"2022","Ontario","Textiles","Residential sources of diverted materials",35,0.259240070953526
"2022","Ontario","Textiles","Non-residential sources of diverted materials",35,0.002309341431248
"2022","Ontario","Tires","All sources of diverted materials",35,8.32999248606279
"2022","Ontario","Tires","Residential sources of diverted materials",35,
"2022","Ontario","Tires","Non-residential sources of diverted materials",35,
"2022","Ontario","Construction, renovation and demolition","All sources of diverted materials",35,12.7648517706315
"2022","Ontario","Construction, renovation and demolition","Residential sources of diverted materials",35,7.06823430921264
"2022","Ontario","Construction, renovation and demolition","Non-residential sources of diverted materials",35,5.69661746141882
"2022","Ontario","All organic materials","All sources of diverted materials",35,75.7621684478507
"2022","Ontario","All organic materials","Residential sources of diverted materials",35,64.3205033361406
"2022","Ontario","All organic materials","Non-residential sources of diverted materials",35,11.4416651117101
"2022","Ontario","Food waste and source separated organics","All sources of diverted materials",35,39.4594531109996
"2022","Ontario","Food waste and source separated organics","Residential sources of diverted materials",35,32.5581511966743
"2022","Ontario","Food waste and source separated organics","Non-residential sources of diverted materials",35,6.90130191432528
"2022","Ontario","Leaf and yard waste","All sources of diverted materials",35,34.8267162563649
"2022","Ontario","Leaf and yard waste","Residential sources of diverted materials",35,30.9810029614995
"2022","Ontario","Leaf and yard waste","Non-residential sources of diverted materials",35,3.84571329486542
"2022","Ontario","Other organic materials","All sources of diverted materials",35,1.47593309930247
"2022","Ontario","Other organic materials","Residential sources of diverted materials",35,0.781349177966824
"2022","Ontario","Other organic materials","Non-residential sources of diverted materials",35,0.694583921335649
"2022","Ontario","Other materials","All sources of diverted materials",35,0.955473521882924
"2022","Ontario","Other materials","Residential sources of diverted materials",35,0.668191447835672
"2022","Ontario","Other materials","Non-residential sources of diverted materials",35,0.287282074047251
"2022","Manitoba","All materials diverted","All sources of diverted materials",46,156.209630293074
"2022","Manitoba","All materials diverted","Residential sources of diverted materials",46,
"2022","Manitoba","All materials diverted","Non-residential sources of diverted materials",46,
"2022","Manitoba","All paper fibres","All sources of diverted materials",46,58.5929375209586
"2022","Manitoba","All paper fibres","Residential sources of diverted materials",46,24.1372821185456
"2022","Manitoba","All paper fibres","Non-residential sources of diverted materials",46,34.455655402413
"2022","Manitoba","Glass","All sources of diverted materials",46,
"2022","Manitoba","Glass","Residential sources of diverted materials",46,
"2022","Manitoba","Glass","Non-residential sources of diverted materials",46,
"2022","Manitoba","Ferrous metals","All sources of diverted materials",46,15.5727139338011
"2022","Manitoba","Ferrous metals","Residential sources of diverted materials",46,
"2022","Manitoba","Ferrous metals","Non-residential sources of diverted materials",46,
"2022","Manitoba","Copper and aluminum","All sources of diverted materials",46,2.92678164383678
"2022","Manitoba","Copper and aluminum","Residential sources of diverted materials",46,1.3272038587957
"2022","Manitoba","Copper and aluminum","Non-residential sources of diverted materials",46,1.59957778504108
"2022","Manitoba","Mixed metals","All sources of diverted materials",46,3.40219795146509
"2022","Manitoba","Mixed metals","Residential sources of diverted materials",46,1.92854889076603
"2022","Manitoba","Mixed metals","Non-residential sources of diverted materials",46,1.47364906069906
"2022","Manitoba","White goods","All sources of diverted materials",46,
"2022","Manitoba","White goods","Residential sources of diverted materials",46,
"2022","Manitoba","White goods","Non-residential sources of diverted materials",46,
"2022","Manitoba","Electronics","All sources of diverted materials",46,1.64697792285521
"2022","Manitoba","Electronics","Residential sources of diverted materials",46,
"2022","Manitoba","Electronics","Non-residential sources of diverted materials",46,
"2022","Manitoba","Plastics","All sources of diverted materials",46,5.27273473326457
"2022","Manitoba","Plastics","Residential sources of diverted materials",46,3.79908567256551
"2022","Manitoba","Plastics","Non-residential sources of diverted materials",46,1.47364906069906
"2022","Manitoba","Gable top and aseptic containers","All sources of diverted materials",46,0.939513179360707
"2022","Manitoba","Gable top and aseptic containers","Residential sources of diverted materials",46,0.69685277234209
"2022","Manitoba","Gable top and aseptic containers","Non-residential sources of diverted materials",46,0.242660407018616
"2022","Manitoba","Textiles","All sources of diverted materials",46,
"2022","Manitoba","Textiles","Residential sources of diverted materials",46,
"2022","Manitoba","Textiles","Non-residential sources of diverted materials",46,
"2022","Manitoba","Tires","All sources of diverted materials",46,10.9713632421128
"2022","Manitoba","Tires","Residential sources of diverted materials",46,
"2022","Manitoba","Tires","Non-residential sources of diverted materials",46,
"2022","Manitoba","Construction, renovation and demolition","All sources of diverted materials",46,1.42837131711541
"2022","Manitoba","Construction, renovation and demolition","Residential sources of diverted materials",46,
"2022","Manitoba","Construction, renovation and demolition","Non-residential sources of diverted materials",46,
"2022","Manitoba","All organic materials","All sources of diverted materials",46,41.6399598725997
"2022","Manitoba","All organic materials","Residential sources of diverted materials",46,23.6363970801515
"2022","Manitoba","All organic materials","Non-residential sources of diverted materials",46,18.0035627924482
"2022","Manitoba","Food waste and source separated organics","All sources of diverted materials",46,2.06225972728649
"2022","Manitoba","Food waste and source separated organics","Residential sources of diverted materials",46,
"2022","Manitoba","Food waste and source separated organics","Non-residential sources of diverted materials",46,
"2022","Manitoba","Leaf and yard waste","All sources of diverted materials",46,29.2954075633641
"2022","Manitoba","Leaf and yard waste","Residential sources of diverted materials",46,
"2022","Manitoba","Leaf and yard waste","Non-residential sources of diverted materials",46,
"2022","Manitoba","Other organic materials","All sources of diverted materials",46,10.2830000466927
"2022","Manitoba","Other organic materials","Residential sources of diverted materials",46,1.17014668573992
"2022","Manitoba","Other organic materials","Non-residential sources of diverted materials",46,9.11285336095276
"2022","Manitoba","Other materials","All sources of diverted materials",46,5.11779995443927
"2022","Manitoba","Other materials","Residential sources of diverted materials",46,2.91546220794087
"2022","Manitoba","Other materials","Non-residential sources of diverted materials",46,2.2023377464984
"2022","Saskatchewan","All materials diverted","All sources of diverted materials",47,159.22687216448
"2022","Saskatchewan","All materials diverted","Residential sources of diverted materials",47,
"2022","Saskatchewan","All materials diverted","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","All paper fibres","All sources of diverted materials",47,39.1043064279146
"2022","Saskatchewan","All paper fibres","Residential sources of diverted materials",47,32.3754067709765
"2022","Saskatchewan","All paper fibres","Non-residential sources of diverted materials",47,6.7288996569381
"2022","Saskatchewan","Glass","All sources of diverted materials",47,
"2022","Saskatchewan","Glass","Residential sources of diverted materials",47,
"2022","Saskatchewan","Glass","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Ferrous metals","All sources of diverted materials",47,32.7113427599008
"2022","Saskatchewan","Ferrous metals","Residential sources of diverted materials",47,6.96982344697471
"2022","Saskatchewan","Ferrous metals","Non-residential sources of diverted materials",47,25.7406709897217
"2022","Saskatchewan","Copper and aluminum","All sources of diverted materials",47,6.21142250228199
"2022","Saskatchewan","Copper and aluminum","Residential sources of diverted materials",47,
"2022","Saskatchewan","Copper and aluminum","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Mixed metals","All sources of diverted materials",47,1.18341087007421
"2022","Saskatchewan","Mixed metals","Residential sources of diverted materials",47,0.844929911536856
"2022","Saskatchewan","Mixed metals","Non-residential sources of diverted materials",47,0.338480958537355
"2022","Saskatchewan","White goods","All sources of diverted materials",47,1.28436133139237
"2022","Saskatchewan","White goods","Residential sources of diverted materials",47,
"2022","Saskatchewan","White goods","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Electronics","All sources of diverted materials",47,1.50153207170706
"2022","Saskatchewan","Electronics","Residential sources of diverted materials",47,
"2022","Saskatchewan","Electronics","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Plastics","All sources of diverted materials",47,5.77368772883518
"2022","Saskatchewan","Plastics","Residential sources of diverted materials",47,5.43690341670654
"2022","Saskatchewan","Plastics","Non-residential sources of diverted materials",47,0.336784312128647
"2022","Saskatchewan","Gable top and aseptic containers","All sources of diverted materials",47,
"2022","Saskatchewan","Gable top and aseptic containers","Residential sources of diverted materials",47,
"2022","Saskatchewan","Gable top and aseptic containers","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Textiles","All sources of diverted materials",47,
"2022","Saskatchewan","Textiles","Residential sources of diverted materials",47,
"2022","Saskatchewan","Textiles","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Tires","All sources of diverted materials",47,22.982772252366
"2022","Saskatchewan","Tires","Residential sources of diverted materials",47,
"2022","Saskatchewan","Tires","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Construction, renovation and demolition","All sources of diverted materials",47,
"2022","Saskatchewan","Construction, renovation and demolition","Residential sources of diverted materials",47,
"2022","Saskatchewan","Construction, renovation and demolition","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","All organic materials","All sources of diverted materials",47,35.4005273177038
"2022","Saskatchewan","All organic materials","Residential sources of diverted materials",47,27.4712503266044
"2022","Saskatchewan","All organic materials","Non-residential sources of diverted materials",47,7.92927699109939
"2022","Saskatchewan","Food waste and source separated organics","All sources of diverted materials",47,6.60843776191979
"2022","Saskatchewan","Food waste and source separated organics","Residential sources of diverted materials",47,
"2022","Saskatchewan","Food waste and source separated organics","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Leaf and yard waste","All sources of diverted materials",47,15.6049053440969
"2022","Saskatchewan","Leaf and yard waste","Residential sources of diverted materials",47,
"2022","Saskatchewan","Leaf and yard waste","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Other organic materials","All sources of diverted materials",47,13.1871842116872
"2022","Saskatchewan","Other organic materials","Residential sources of diverted materials",47,
"2022","Saskatchewan","Other organic materials","Non-residential sources of diverted materials",47,
"2022","Saskatchewan","Other materials","All sources of diverted materials",47,0.538685234764964
"2022","Saskatchewan","Other materials","Residential sources of diverted materials",47,0.493724104934187
"2022","Saskatchewan","Other materials","Non-residential sources of diverted materials",47,0.0449611298307765
"2022","Alberta","All materials diverted","All sources of diverted materials",48,215.218899597605
"2022","Alberta","All materials diverted","Residential sources of diverted materials",48,
"2022","Alberta","All materials diverted","Non-residential sources of diverted materials",48,
"2022","Alberta","All paper fibres","All sources of diverted materials",48,60.7246476690058
"2022","Alberta","All paper fibres","Residential sources of diverted materials",48,11.7804495769856
"2022","Alberta","All paper fibres","Non-residential sources of diverted materials",48,48.9439764967156
"2022","Alberta","Glass","All sources of diverted materials",48,13.3371565909867
"2022","Alberta","Glass","Residential sources of diverted materials",48,10.4178600497127
"2022","Alberta","Glass","Non-residential sources of diverted materials",48,2.91929654127401
"2022","Alberta","Ferrous metals","All sources of diverted materials",48,12.6615125076146
"2022","Alberta","Ferrous metals","Residential sources of diverted materials",48,1.37810119858684
"2022","Alberta","Ferrous metals","Non-residential sources of diverted materials",48,11.2831897137232
"2022","Alberta","Copper and aluminum","All sources of diverted materials",48,4.68142240253186
"2022","Alberta","Copper and aluminum","Residential sources of diverted materials",48,3.2434904717343
"2022","Alberta","Copper and aluminum","Non-residential sources of diverted materials",48,1.43793193079756
"2022","Alberta","Mixed metals","All sources of diverted materials",48,4.40132593766391
"2022","Alberta","Mixed metals","Residential sources of diverted materials",48,1.66107840241308
"2022","Alberta","Mixed metals","Non-residential sources of diverted materials",48,2.74046913055531
"2022","Alberta","White goods","All sources of diverted materials",48,3.24792237782398
"2022","Alberta","White goods","Residential sources of diverted materials",48,2.37904718894169
"2022","Alberta","White goods","Non-residential sources of diverted materials",48,0.868875188882298
"2022","Alberta","Electronics","All sources of diverted materials",48,1.88200892098377
"2022","Alberta","Electronics","Residential sources of diverted materials",48,
"2022","Alberta","Electronics","Non-residential sources of diverted materials",48,
"2022","Alberta","Plastics","All sources of diverted materials",48,8.93051236601517
"2022","Alberta","Plastics","Residential sources of diverted materials",48,6.07858079730434
"2022","Alberta","Plastics","Non-residential sources of diverted materials",48,2.85193156871083
"2022","Alberta","Gable top and aseptic containers","All sources of diverted materials",48,1.17356873254798
"2022","Alberta","Gable top and aseptic containers","Residential sources of diverted materials",48,1.01845201940909
"2022","Alberta","Gable top and aseptic containers","Non-residential sources of diverted materials",48,0.155116713138895
"2022","Alberta","Textiles","All sources of diverted materials",48,
"2022","Alberta","Textiles","Residential sources of diverted materials",48,
"2022","Alberta","Textiles","Non-residential sources of diverted materials",48,
"2022","Alberta","Tires","All sources of diverted materials",48,14.5778687007934
"2022","Alberta","Tires","Residential sources of diverted materials",48,
"2022","Alberta","Tires","Non-residential sources of diverted materials",48,
"2022","Alberta","Construction, renovation and demolition","All sources of diverted materials",48,16.3249260813463
"2022","Alberta","Construction, renovation and demolition","Residential sources of diverted materials",48,1.7014087478292
"2022","Alberta","Construction, renovation and demolition","Non-residential sources of diverted materials",48,14.6235173335171
"2022","Alberta","All organic materials","All sources of diverted materials",48,72.5272567764398
"2022","Alberta","All organic materials","Residential sources of diverted materials",48,56.0549698176115
"2022","Alberta","All organic materials","Non-residential sources of diverted materials",48,16.4722869588283
"2022","Alberta","Food waste and source separated organics","All sources of diverted materials",48,48.3392429107784
"2022","Alberta","Food waste and source separated organics","Residential sources of diverted materials",48,39.6892702002402
"2022","Alberta","Food waste and source separated organics","Non-residential sources of diverted materials",48,8.64997271053825
"2022","Alberta","Leaf and yard waste","All sources of diverted materials",48,13.1035951400604
"2022","Alberta","Leaf and yard waste","Residential sources of diverted materials",48,9.09404970072446
"2022","Alberta","Leaf and yard waste","Non-residential sources of diverted materials",48,4.00954543933596
"2022","Alberta","Other organic materials","All sources of diverted materials",48,11.084418725601
"2022","Alberta","Other organic materials","Residential sources of diverted materials",48,7.27164991664693
"2022","Alberta","Other organic materials","Non-residential sources of diverted materials",48,3.81276880895405
"2022","Alberta","Other materials","All sources of diverted materials",48,
"2022","Alberta","Other materials","Residential sources of diverted materials",48,
"2022","Alberta","Other materials","Non-residential sources of diverted materials",48,
"2022","British Columbia","All materials diverted","All sources of diverted materials",59,312.264303222056
"2022","British Columbia","All materials diverted","Residential sources of diverted materials",59,
"2022","British Columbia","All materials diverted","Non-residential sources of diverted materials",59,
"2022","British Columbia","All paper fibres","All sources of diverted materials",59,99.7687001583364
"2022","British Columbia","All paper fibres","Residential sources of diverted materials",59,25.0886151773377
"2022","British Columbia","All paper fibres","Non-residential sources of diverted materials",59,74.6800849809987
"2022","British Columbia","Glass","All sources of diverted materials",59,20.7337588603514
"2022","British Columbia","Glass","Residential sources of diverted materials",59,13.741953723237
"2022","British Columbia","Glass","Non-residential sources of diverted materials",59,6.99180513711443
"2022","British Columbia","Ferrous metals","All sources of diverted materials",59,15.1612894196417
"2022","British Columbia","Ferrous metals","Residential sources of diverted materials",59,3.30668269001996
"2022","British Columbia","Ferrous metals","Non-residential sources of diverted materials",59,11.8546067296218
"2022","British Columbia","Copper and aluminum","All sources of diverted materials",59,3.27701211734991
"2022","British Columbia","Copper and aluminum","Residential sources of diverted materials",59,1.14408981786187
"2022","British Columbia","Copper and aluminum","Non-residential sources of diverted materials",59,2.13292229948804
"2022","British Columbia","Mixed metals","All sources of diverted materials",59,11.122919211136
"2022","British Columbia","Mixed metals","Residential sources of diverted materials",59,4.57411998294409
"2022","British Columbia","Mixed metals","Non-residential sources of diverted materials",59,6.5487992281919
"2022","British Columbia","White goods","All sources of diverted materials",59,4.6823522606084
"2022","British Columbia","White goods","Residential sources of diverted materials",59,2.64403990038898
"2022","British Columbia","White goods","Non-residential sources of diverted materials",59,2.03831236021941
"2022","British Columbia","Electronics","All sources of diverted materials",59,2.55987997413622
"2022","British Columbia","Electronics","Residential sources of diverted materials",59,
"2022","British Columbia","Electronics","Non-residential sources of diverted materials",59,
"2022","British Columbia","Plastics","All sources of diverted materials",59,11.8743871114018
"2022","British Columbia","Plastics","Residential sources of diverted materials",59,7.80410704172261
"2022","British Columbia","Plastics","Non-residential sources of diverted materials",59,4.07009346230391
"2022","British Columbia","Gable top and aseptic containers","All sources of diverted materials",59,0.35642008679109
"2022","British Columbia","Gable top and aseptic containers","Residential sources of diverted materials",59,0.313873605226499
"2022","British Columbia","Gable top and aseptic containers","Non-residential sources of diverted materials",59,0.0425464815645909
"2022","British Columbia","Textiles","All sources of diverted materials",59,0.105619774410344
"2022","British Columbia","Textiles","Residential sources of diverted materials",59,0.105619774410344
"2022","British Columbia","Textiles","Non-residential sources of diverted materials",59,0
"2022","British Columbia","Tires","All sources of diverted materials",59,9.61009321971432
"2022","British Columbia","Tires","Residential sources of diverted materials",59,
"2022","British Columbia","Tires","Non-residential sources of diverted materials",59,
"2022","British Columbia","Construction, renovation and demolition","All sources of diverted materials",59,32.0688506571845
"2022","British Columbia","Construction, renovation and demolition","Residential sources of diverted materials",59,3.09208420844417
"2022","British Columbia","Construction, renovation and demolition","Non-residential sources of diverted materials",59,28.9767664487404
"2022","British Columbia","All organic materials","All sources of diverted materials",59,98.3101769131221
"2022","British Columbia","All organic materials","Residential sources of diverted materials",59,64.9537353664829
"2022","British Columbia","All organic materials","Non-residential sources of diverted materials",59,33.3564415466392
"2022","British Columbia","Food waste and source separated organics","All sources of diverted materials",59,55.9557143376978
"2022","British Columbia","Food waste and source separated organics","Residential sources of diverted materials",59,39.3717302888962
"2022","British Columbia","Food waste and source separated organics","Non-residential sources of diverted materials",59,16.5839840488016
"2022","British Columbia","Leaf and yard waste","All sources of diverted materials",59,27.0192550820186
"2022","British Columbia","Leaf and yard waste","Residential sources of diverted materials",59,19.3054660099331
"2022","British Columbia","Leaf and yard waste","Non-residential sources of diverted materials",59,7.7137890720855
"2022","British Columbia","Other organic materials","All sources of diverted materials",59,15.3352074934058
"2022","British Columbia","Other organic materials","Residential sources of diverted materials",59,6.27653906765357
"2022","British Columbia","Other organic materials","Non-residential sources of diverted materials",59,9.05866842575219
"2022","British Columbia","Other materials","All sources of diverted materials",59,2.63284345787199
"2022","British Columbia","Other materials","Residential sources of diverted materials",59,2.13516158799144
"2022","British Columbia","Other materials","Non-residential sources of diverted materials",59,0.49749526250526
"2022","Territories","All materials diverted","All sources of diverted materials",,230.64529871498
"2022","Territories","All materials diverted","Residential sources of diverted materials",,
"2022","Territories","All materials diverted","Non-residential sources of diverted materials",,
"2022","Territories","All paper fibres","All sources of diverted materials",,
"2022","Territories","All paper fibres","Residential sources of diverted materials",,
"2022","Territories","All paper fibres","Non-residential sources of diverted materials",,
"2022","Territories","Glass","All sources of diverted materials",,7.52887229576385
"2022","Territories","Glass","Residential sources of diverted materials",,
"2022","Territories","Glass","Non-residential sources of diverted materials",,
"2022","Territories","Ferrous metals","All sources of diverted materials",,52.2373608669047
"2022","Territories","Ferrous metals","Residential sources of diverted materials",,17.4899111562086
"2022","Territories","Ferrous metals","Non-residential sources of diverted materials",,34.7551954640868
"2022","Territories","Copper and aluminum","All sources of diverted materials",,4.7946213488455
"2022","Territories","Copper and aluminum","Residential sources of diverted materials",,4.19819833776132
"2022","Territories","Copper and aluminum","Non-residential sources of diverted materials",,0.596423011084173
"2022","Territories","Mixed metals","All sources of diverted materials",,
"2022","Territories","Mixed metals","Residential sources of diverted materials",,
"2022","Territories","Mixed metals","Non-residential sources of diverted materials",,
"2022","Territories","White goods","All sources of diverted materials",,
"2022","Territories","White goods","Residential sources of diverted materials",,
"2022","Territories","White goods","Non-residential sources of diverted materials",,
"2022","Territories","Electronics","All sources of diverted materials",,2.00615012819222
"2022","Territories","Electronics","Residential sources of diverted materials",,
"2022","Territories","Electronics","Non-residential sources of diverted materials",,
"2022","Territories","Plastics","All sources of diverted materials",,8.2879561280528
"2022","Territories","Plastics","Residential sources of diverted materials",,7.67604161018722
"2022","Territories","Plastics","Non-residential sources of diverted materials",,
"2022","Territories","Gable top and aseptic containers","All sources of diverted materials",,1.54915067814071
"2022","Territories","Gable top and aseptic containers","Residential sources of diverted materials",,1.54915067814071
"2022","Territories","Gable top and aseptic containers","Non-residential sources of diverted materials",,0
"2022","Territories","Textiles","All sources of diverted materials",,
"2022","Territories","Textiles","Residential sources of diverted materials",,
"2022","Territories","Textiles","Non-residential sources of diverted materials",,
"2022","Territories","Tires","All sources of diverted materials",,3.17575889018845
"2022","Territories","Tires","Residential sources of diverted materials",,
"2022","Territories","Tires","Non-residential sources of diverted materials",,
"2022","Territories","Construction, renovation and demolition","All sources of diverted materials",,
"2022","Territories","Construction, renovation and demolition","Residential sources of diverted materials",,
"2022","Territories","Construction, renovation and demolition","Non-residential sources of diverted materials",,
"2022","Territories","All organic materials","All sources of diverted materials",,
"2022","Territories","All organic materials","Residential sources of diverted materials",,
"2022","Territories","All organic materials","Non-residential sources of diverted materials",,
"2022","Territories","Food waste and source separated organics","All sources of diverted materials",,
"2022","Territories","Food waste and source separated organics","Residential sources of diverted materials",,
"2022","Territories","Food waste and source separated organics","Non-residential sources of diverted materials",,
"2022","Territories","Leaf and yard waste","All sources of diverted materials",,
"2022","Territories","Leaf and yard waste","Residential sources of diverted materials",,
"2022","Territories","Leaf and yard waste","Non-residential sources of diverted materials",,
"2022","Territories","Other organic materials","All sources of diverted materials",,
"2022","Territories","Other organic materials","Residential sources of diverted materials",,
"2022","Territories","Other organic materials","Non-residential sources of diverted materials",,
"2022","Territories","Other materials","All sources of diverted materials",,
"2022","Territories","Other materials","Residential sources of diverted materials",,
"2022","Territories","Other materials","Non-residential sources of diverted materials",,
"2023","Canada","All materials diverted","Residential sources of diverted materials",,
"2023","Canada","All materials diverted","Non-residential sources of diverted materials",,
"2023","Canada","All paper fibres","All sources of diverted materials",,73.9363902618706
"2023","Canada","All paper fibres","Residential sources of diverted materials",,28.585395003252
"2023","Canada","All paper fibres","Non-residential sources of diverted materials",,45.3520190022804
"2023","Canada","Glass","All sources of diverted materials",,9.40196191234118
"2023","Canada","Glass","Residential sources of diverted materials",,6.38733646069543
"2023","Canada","Glass","Non-residential sources of diverted materials",,3.01472532907616
"2023","Canada","Ferrous metals","All sources of diverted materials",,10.2620813737381
"2023","Canada","Ferrous metals","Residential sources of diverted materials",,3.17755051001411
"2023","Canada","Ferrous metals","Non-residential sources of diverted materials",,7.08475558794248
"2023","Canada","Copper and aluminum","All sources of diverted materials",,2.37728259879476
