Year,Series,Services de base,Niveau de compétence,Units,Sexe,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2016,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,277230.0
2016,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5356134.0
2016,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,3010083.0
2016,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,2346051.0
2016,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9475472.0
2016,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3703850.0
2016,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,5771622.0
2016,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,969289.0
2016,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,308517.0
2016,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,660772.0
2016,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,898404.0
2016,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,343497.0
2016,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,554908.0
2016,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4206668.0
2016,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1299856.0
2016,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2906811.0
2016,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2614087.0
2016,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,929476.0
2016,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1684611.0
2016,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2016,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2018,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,10848238.0
2018,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,14884782.0
2018,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,373668.0
2018,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,158588.0
2018,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,215080.0
2018,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,53972.0
2018,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,20540.0
2018,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,33432.0
2018,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,392328.0
2018,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,157078.0
2018,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,235250.0
2018,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,507848.0
2018,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,222110.0
2018,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,285738.0
2018,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5563136.0
2018,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,3231578.0
2018,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,2331557.0
2018,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,10085613.0
2018,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3980665.0
2018,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6104948.0
2018,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,963256.0
2018,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,333742.0
2018,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,629514.0
2018,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,864753.0
2018,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,381180.0
2018,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,483573.0
2018,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4118081.0
2018,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1336765.0
2018,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2781316.0
2018,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2719877.0
2018,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,993371.0
2018,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1726506.0
2018,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,90489.0
2018,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,32621.0
2018,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,57868.0
2020,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets non résidentielles à des fins d'élimination,,10862118.0
2020,Access to basic waste collection services,,,Tonnes,,Canada,Sources de déchets résidentielles à des fins d'élimination,,15245602.0
2020,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,365210.0
2020,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,161147.0
2020,Access to basic waste collection services,,,Tonnes,,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,204063.0
2020,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,55803.0
2020,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,20174.0
2020,Access to basic waste collection services,,,Tonnes,,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,35629.0
2020,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,399735.0
2020,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,157740.0
2020,Access to basic waste collection services,,,Tonnes,,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,241995.0
2020,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,498839.0
2020,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,215093.0
2020,Access to basic waste collection services,,,Tonnes,,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,283746.0
2020,Access to basic waste collection services,,,Tonnes,,Québec,Toutes les sources de déchets à des fins d'élimination,24,5756149.0
2020,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets non résidentielles à des fins d'élimination,,3417649.0
2020,Access to basic waste collection services,,,Tonnes,,Québec,Sources de déchets résidentielles à des fins d'élimination,,2338499.0
2020,Access to basic waste collection services,,,Tonnes,,Ontario,Toutes les sources de déchets à des fins d'élimination,35,10300560.0
2020,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3814211.0
2020,Access to basic waste collection services,,,Tonnes,,Ontario,Sources de déchets résidentielles à des fins d'élimination,,6486350.0
2020,Access to basic waste collection services,,,Tonnes,,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,934437.0
2020,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,325486.0
2020,Access to basic waste collection services,,,Tonnes,,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,608951.0
2020,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,852445.0
2020,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,406635.0
2020,Access to basic waste collection services,,,Tonnes,,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,445810.0
2020,Access to basic waste collection services,,,Tonnes,,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4044817.0
2020,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1238331.0
2020,Access to basic waste collection services,,,Tonnes,,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2806486.0
2020,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2803431.0
2020,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,1068244.0
2020,Access to basic waste collection services,,,Tonnes,,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1735187.0
2020,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,96294.0
2020,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,37409.0
2020,Access to basic waste collection services,,,Tonnes,,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,58886.0
2015,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,,,,92.0
2019,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,,,,92.0
2019,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Homme,,,,94.0
2019,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Femme,,,,91.0
2016,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Total,,,,95.6
2016,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Homme,,,,95.3
2016,Accès à l'éducation de base,,Proportion d’enfants de 4e année atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Femme,,,,96.3
2018,Accès à l'éducation de base,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Total,,,,86.3
2018,Accès à l'éducation de base,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Femme,,,,90.4
2018,Accès à l'éducation de base,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en lecture,Pourcentage (%),Homme,,,,82.1
2018,Accès à l'éducation de base,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Total,,,,83.7
2018,Accès à l'éducation de base,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Femme,,,,83.9
2018,Accès à l'éducation de base,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimal de compétence en mathématiques,Pourcentage (%),Homme,,,,83.6
2016,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.5
2017,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.5
2018,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.5
2019,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.5
2020,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,Pourcentage (%),,,,,99.6
2016,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,98.6
2017,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,99.1
2018,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,99.3
2019,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,99.5
2020,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,99.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,99.4
2022,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme (LTE),,Pourcentage (%),,,,,99.4
2016,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,83.4
2017,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,92.4
2018,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,94.9
2019,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,95.9
2020,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,97.5
2021,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,97.8
2022,Accès aux services d’information de base,Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,Pourcentage (%),,,,,97.8
2020,Accès aux services d’information de base,Proportion de la population couverte par la 5G,,Pourcentage (%),,,,,53.3
2021,Accès aux services d’information de base,Proportion de la population couverte par la 5G,,Pourcentage (%),,,,,87.8
2022,Accès aux services d’information de base,Proportion de la population couverte par la 5G,,Pourcentage (%),,,,,91.4
