Year,Geography,Age at time of death,Sex,Causes of death,Value
2020,Canada,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,Canada,30 to 34 years,Both sexes,Diabetes mellitus,1.8
2020,Canada,30 to 34 years,Both sexes,Diseases of heart,4.2
2020,Canada,30 to 34 years,Both sexes,Influenza and pneumonia,0.8
2020,Canada,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.3
2020,Canada,30 to 34 years,Males,Malignant neoplasms,5.1
2020,Canada,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,Canada,30 to 34 years,Males,Diabetes mellitus,1.4
2020,Canada,30 to 34 years,Males,Diseases of heart,3.6
2020,Canada,30 to 34 years,Males,Influenza and pneumonia,0.7
2020,Canada,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,30 to 34 years,Males,Chronic lower respiratory diseases,0.2
2020,Canada,30 to 34 years,Females,Malignant neoplasms,12.4
2020,Canada,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,Canada,30 to 34 years,Females,Diabetes mellitus,2.9
2020,Canada,30 to 34 years,Females,Diseases of heart,5.3
2020,Canada,30 to 34 years,Females,Influenza and pneumonia,0.9
2020,Canada,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,30 to 34 years,Females,Chronic lower respiratory diseases,0.4
2020,Canada,35 to 44 years,Both sexes,Malignant neoplasms,16.9
2020,Canada,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,Canada,35 to 44 years,Both sexes,Diabetes mellitus,2.0
2020,Canada,35 to 44 years,Both sexes,Diseases of heart,7.1
2020,Canada,35 to 44 years,Both sexes,Influenza and pneumonia,1.0
2020,Canada,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.4
2020,Canada,35 to 44 years,Males,Malignant neoplasms,10.9
2020,Canada,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,Canada,35 to 44 years,Males,Diabetes mellitus,2.1
2020,Canada,35 to 44 years,Males,Diseases of heart,8.0
2020,Canada,35 to 44 years,Males,Influenza and pneumonia,0.9
2020,Canada,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,35 to 44 years,Males,Chronic lower respiratory diseases,0.4
2020,Canada,35 to 44 years,Females,Malignant neoplasms,28.6
2020,Canada,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,Canada,35 to 44 years,Females,Diabetes mellitus,1.9
2020,Canada,35 to 44 years,Females,Diseases of heart,5.4
2020,Canada,35 to 44 years,Females,Influenza and pneumonia,1.0
2020,Canada,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,35 to 44 years,Females,Chronic lower respiratory diseases,0.6
2020,Canada,45 to 54 years,Both sexes,Malignant neoplasms,27.9
2020,Canada,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2020,Canada,45 to 54 years,Both sexes,Diabetes mellitus,2.5
2020,Canada,45 to 54 years,Both sexes,Diseases of heart,13.3
2020,Canada,45 to 54 years,Both sexes,Influenza and pneumonia,1.2
2020,Canada,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,45 to 54 years,Both sexes,Chronic lower respiratory diseases,1.1
2020,Canada,45 to 54 years,Males,Malignant neoplasms,20.3
2020,Canada,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2020,Canada,45 to 54 years,Males,Diabetes mellitus,2.7
2020,Canada,45 to 54 years,Males,Diseases of heart,15.9
2020,Canada,45 to 54 years,Males,Influenza and pneumonia,1.1
2020,Canada,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,45 to 54 years,Males,Chronic lower respiratory diseases,1.0
2020,Canada,45 to 54 years,Females,Malignant neoplasms,40.6
2020,Canada,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,Canada,45 to 54 years,Females,Diabetes mellitus,2.1
2020,Canada,45 to 54 years,Females,Diseases of heart,9.1
2020,Canada,45 to 54 years,Females,Influenza and pneumonia,1.2
2020,Canada,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,45 to 54 years,Females,Chronic lower respiratory diseases,1.3
2020,Canada,55 to 64 years,Both sexes,Malignant neoplasms,39.3
2020,Canada,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,Canada,55 to 64 years,Both sexes,Diabetes mellitus,2.9
2020,Canada,55 to 64 years,Both sexes,Diseases of heart,16.3
2020,Canada,55 to 64 years,Both sexes,Influenza and pneumonia,1.1
2020,Canada,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,55 to 64 years,Both sexes,Chronic lower respiratory diseases,3.1
2020,Canada,55 to 64 years,Males,Malignant neoplasms,33.1
2020,Canada,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,Canada,55 to 64 years,Males,Diabetes mellitus,3.1
2020,Canada,55 to 64 years,Males,Diseases of heart,20.0
2020,Canada,55 to 64 years,Males,Influenza and pneumonia,1.0
2020,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,2.8
2020,Canada,55 to 64 years,Females,Malignant neoplasms,49.0
2020,Canada,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,Canada,55 to 64 years,Females,Diabetes mellitus,2.6
2020,Canada,55 to 64 years,Females,Diseases of heart,10.5
2020,Canada,55 to 64 years,Females,Influenza and pneumonia,1.1
2020,Canada,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,55 to 64 years,Females,Chronic lower respiratory diseases,3.4
2020,Canada,65 to 74 years,Both sexes,Malignant neoplasms,40.3
2020,Canada,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2020,Canada,65 to 74 years,Both sexes,Diabetes mellitus,2.9
2020,Canada,65 to 74 years,Both sexes,Diseases of heart,16.5
2020,Canada,65 to 74 years,Both sexes,Influenza and pneumonia,1.3
2020,Canada,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,65 to 74 years,Both sexes,Chronic lower respiratory diseases,4.9
2020,Canada,65 to 74 years,Males,Malignant neoplasms,37.8
2020,Canada,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2020,Canada,65 to 74 years,Males,Diabetes mellitus,3.2
2020,Canada,65 to 74 years,Males,Diseases of heart,18.9
2020,Canada,65 to 74 years,Males,Influenza and pneumonia,1.3
2020,Canada,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,65 to 74 years,Males,Chronic lower respiratory diseases,4.5
2020,Canada,65 to 74 years,Females,Malignant neoplasms,43.9
2020,Canada,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2020,Canada,65 to 74 years,Females,Diabetes mellitus,2.6
2020,Canada,65 to 74 years,Females,Diseases of heart,13.1
2020,Canada,65 to 74 years,Females,Influenza and pneumonia,1.3
2020,Canada,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,65 to 74 years,Females,Chronic lower respiratory diseases,5.5
2020,Canada,75 to 84 years,Both sexes,Malignant neoplasms,30.5
2020,Canada,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2020,Canada,75 to 84 years,Both sexes,Diabetes mellitus,2.8
2020,Canada,75 to 84 years,Both sexes,Diseases of heart,17.0
2020,Canada,75 to 84 years,Both sexes,Influenza and pneumonia,1.7
2020,Canada,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,75 to 84 years,Both sexes,Chronic lower respiratory diseases,5.0
2020,Canada,75 to 84 years,Males,Malignant neoplasms,30.6
2020,Canada,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2020,Canada,75 to 84 years,Males,Diabetes mellitus,2.9
2020,Canada,75 to 84 years,Males,Diseases of heart,18.5
2020,Canada,75 to 84 years,Males,Influenza and pneumonia,1.8
2020,Canada,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,75 to 84 years,Males,Chronic lower respiratory diseases,4.7
2020,Canada,75 to 84 years,Females,Malignant neoplasms,30.3
2020,Canada,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2020,Canada,75 to 84 years,Females,Diabetes mellitus,2.7
2020,Canada,75 to 84 years,Females,Diseases of heart,15.4
2020,Canada,75 to 84 years,Females,Influenza and pneumonia,1.7
2020,Canada,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,75 to 84 years,Females,Chronic lower respiratory diseases,5.4
2020,Canada,85 and over,Both sexes,Malignant neoplasms,15.3
2020,Canada,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2020,Canada,85 and over,Both sexes,Diabetes mellitus,2.0
2020,Canada,85 and over,Both sexes,Diseases of heart,20.8
2020,Canada,85 and over,Both sexes,Influenza and pneumonia,2.8
2020,Canada,85 and over,Both sexes,Acute bronchitis and bronchiolitis,0.0
2020,Canada,85 and over,Both sexes,Chronic lower respiratory diseases,3.5
2020,Canada,85 and over,Males,Malignant neoplasms,18.9
2020,Canada,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2020,Canada,85 and over,Males,Diabetes mellitus,2.2
2020,Canada,85 and over,Males,Diseases of heart,21.1
2020,Canada,85 and over,Males,Influenza and pneumonia,3.0
2020,Canada,85 and over,Males,Acute bronchitis and bronchiolitis,0.0
2020,Canada,85 and over,Males,Chronic lower respiratory diseases,3.9
2020,Canada,85 and over,Females,Malignant neoplasms,12.8
2020,Canada,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2020,Canada,85 and over,Females,Diabetes mellitus,1.9
2020,Canada,85 and over,Females,Diseases of heart,20.6
2020,Canada,85 and over,Females,Influenza and pneumonia,2.7
2020,Canada,85 and over,Females,Acute bronchitis and bronchiolitis,0.0
2020,Canada,85 and over,Females,Chronic lower respiratory diseases,3.2
