Year,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,Series,GeoCode,Value
2015-2020,,Troisième décile,Saskatchewan,Revenu par habitant,47,0.308
2015-2020,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.261
2015-2020,,Total des déciles,Alberta,Revenu par habitant,48,-2.498
2015-2020,,Décile inférieur,Alberta,Revenu par habitant,48,0.039
2015-2020,,Deuxième décile,Alberta,Revenu par habitant,48,-0.416
2015-2020,,Troisième décile,Alberta,Revenu par habitant,48,-0.769
2015-2020,,Quatrième décile,Alberta,Revenu par habitant,48,-1.411
2015-2020,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,0.887
2015-2020,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,7.448
2015-2020,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,5.185
2015-2020,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,3.049
2015-2020,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,1.73
2015-2020,,Total des déciles,Yukon,Revenu par habitant,60,
2015-2020,,Décile inférieur,Yukon,Revenu par habitant,60,
2015-2020,,Deuxième décile,Yukon,Revenu par habitant,60,
2015-2020,,Troisième décile,Yukon,Revenu par habitant,60,
2015-2020,,Quatrième décile,Yukon,Revenu par habitant,60,
2015-2020,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2015-2020,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2015-2020,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2015-2020,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2015-2020,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2015-2020,,Total des déciles,Nunavut,Revenu par habitant,62,
2015-2020,,Décile inférieur,Nunavut,Revenu par habitant,62,
2015-2020,,Deuxième décile,Nunavut,Revenu par habitant,62,
2015-2020,,Troisième décile,Nunavut,Revenu par habitant,62,
2015-2020,,Quatrième décile,Nunavut,Revenu par habitant,62,
2016-2021,,Total des déciles,Canada,Revenu par habitant,,0.488
2016-2021,,Décile inférieur,Canada,Revenu par habitant,,1.178
2016-2021,,Deuxième décile,Canada,Revenu par habitant,,1.946
2016-2021,,Troisième décile,Canada,Revenu par habitant,,1.417
2016-2021,,Quatrième décile,Canada,Revenu par habitant,,1.148
2016-2021,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.749
2016-2021,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.716
2016-2021,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.865
2016-2021,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,2.21
2016-2021,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.57
2016-2021,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,0.394
2016-2021,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,1.843
2016-2021,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.822
2016-2021,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.948
2016-2021,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.043
2016-2021,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,-0.176
2016-2021,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,3.619
2016-2021,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,1.887
2016-2021,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,1.119
2016-2021,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,0.214
2016-2021,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,1.236
2016-2021,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,2.436
2016-2021,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,2.848
2016-2021,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,2.54
2016-2021,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,1.806
2016-2021,,Total des déciles,Québec,Revenu par habitant,24,1.389
2016-2021,,Décile inférieur,Québec,Revenu par habitant,24,4.773
2016-2021,,Deuxième décile,Québec,Revenu par habitant,24,2.112
2016-2021,,Troisième décile,Québec,Revenu par habitant,24,2.208
2016-2021,,Quatrième décile,Québec,Revenu par habitant,24,1.995
2016-2021,,Total des déciles,Ontario,Revenu par habitant,35,0.283
2016-2021,,Décile inférieur,Ontario,Revenu par habitant,35,-1.688
2016-2021,,Deuxième décile,Ontario,Revenu par habitant,35,2.419
2016-2021,,Troisième décile,Ontario,Revenu par habitant,35,1.556
2016-2021,,Quatrième décile,Ontario,Revenu par habitant,35,1.097
2016-2021,,Total des déciles,Manitoba,Revenu par habitant,46,-0.249
2016-2021,,Décile inférieur,Manitoba,Revenu par habitant,46,1.093
2016-2021,,Deuxième décile,Manitoba,Revenu par habitant,46,0.666
2016-2021,,Troisième décile,Manitoba,Revenu par habitant,46,0.278
2016-2021,,Quatrième décile,Manitoba,Revenu par habitant,46,0.062
2016-2021,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.588
2016-2021,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-3.478
2016-2021,,Deuxième décile,Saskatchewan,Revenu par habitant,47,0.414
2016-2021,,Troisième décile,Saskatchewan,Revenu par habitant,47,0.453
2016-2021,,Quatrième décile,Saskatchewan,Revenu par habitant,47,0.055
2016-2021,,Total des déciles,Alberta,Revenu par habitant,48,-0.713
2016-2021,,Décile inférieur,Alberta,Revenu par habitant,48,-0.282
2016-2021,,Deuxième décile,Alberta,Revenu par habitant,48,-0.484
2016-2021,,Troisième décile,Alberta,Revenu par habitant,48,-0.697
2016-2021,,Quatrième décile,Alberta,Revenu par habitant,48,-1.052
2016-2021,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,1.089
2016-2021,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,4.768
2016-2021,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,2.907
2016-2021,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,1.773
2016-2021,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,1.223
2016-2021,,Total des déciles,Yukon,Revenu par habitant,60,
2016-2021,,Décile inférieur,Yukon,Revenu par habitant,60,
2016-2021,,Deuxième décile,Yukon,Revenu par habitant,60,
2016-2021,,Troisième décile,Yukon,Revenu par habitant,60,
2016-2021,,Quatrième décile,Yukon,Revenu par habitant,60,
2016-2021,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2016-2021,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2016-2021,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2016-2021,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2016-2021,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2016-2021,,Total des déciles,Nunavut,Revenu par habitant,62,
2016-2021,,Décile inférieur,Nunavut,Revenu par habitant,62,
2016-2021,,Deuxième décile,Nunavut,Revenu par habitant,62,
2016-2021,,Troisième décile,Nunavut,Revenu par habitant,62,
2016-2021,,Quatrième décile,Nunavut,Revenu par habitant,62,
2017-2022,,Total des déciles,Canada,Revenu par habitant,,-0.287
2017-2022,,Décile inférieur,Canada,Revenu par habitant,,-0.824
2017-2022,,Deuxième décile,Canada,Revenu par habitant,,0.287
2017-2022,,Troisième décile,Canada,Revenu par habitant,,0.363
2017-2022,,Quatrième décile,Canada,Revenu par habitant,,0.146
2017-2022,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.041
2017-2022,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.7
2017-2022,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.765
2017-2022,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.985
2017-2022,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.039
2017-2022,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-1.045
2017-2022,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,3.612
2017-2022,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,1.142
2017-2022,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,0.624
2017-2022,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,0.139
2017-2022,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,-1.272
2017-2022,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,0.548
2017-2022,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,-0.031
2017-2022,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,-0.662
2017-2022,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,-1.258
2017-2022,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,-0.406
2017-2022,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,0.817
2017-2022,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,-0.112
2017-2022,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,-0.574
2017-2022,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,-0.184
2017-2022,,Total des déciles,Québec,Revenu par habitant,24,1.003
2017-2022,,Décile inférieur,Québec,Revenu par habitant,24,3.835
2017-2022,,Deuxième décile,Québec,Revenu par habitant,24,1.978
2017-2022,,Troisième décile,Québec,Revenu par habitant,24,1.65
2017-2022,,Quatrième décile,Québec,Revenu par habitant,24,1.52
2017-2022,,Total des déciles,Ontario,Revenu par habitant,35,-0.41
2017-2022,,Décile inférieur,Ontario,Revenu par habitant,35,-2.965
2017-2022,,Deuxième décile,Ontario,Revenu par habitant,35,0.342
2017-2022,,Troisième décile,Ontario,Revenu par habitant,35,0.442
2017-2022,,Quatrième décile,Ontario,Revenu par habitant,35,0.156
2017-2022,,Total des déciles,Manitoba,Revenu par habitant,46,-1.437
2017-2022,,Décile inférieur,Manitoba,Revenu par habitant,46,-1.983
2017-2022,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.341
2017-2022,,Troisième décile,Manitoba,Revenu par habitant,46,-0.395
2017-2022,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.237
2017-2022,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.783
2017-2022,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-2.626
2017-2022,,Deuxième décile,Saskatchewan,Revenu par habitant,47,0.161
2017-2022,,Troisième décile,Saskatchewan,Revenu par habitant,47,0.206
2017-2022,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.334
2017-2022,,Total des déciles,Alberta,Revenu par habitant,48,-1.915
2017-2022,,Décile inférieur,Alberta,Revenu par habitant,48,-4.044
2017-2022,,Deuxième décile,Alberta,Revenu par habitant,48,-2.34
2017-2022,,Troisième décile,Alberta,Revenu par habitant,48,-1.78
2017-2022,,Quatrième décile,Alberta,Revenu par habitant,48,-1.845
2017-2022,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.066
2017-2022,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,-1.526
2017-2022,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,0.057
2017-2022,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,-0.137
2017-2022,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,-0.142
2017-2022,,Total des déciles,Yukon,Revenu par habitant,60,
2017-2022,,Décile inférieur,Yukon,Revenu par habitant,60,
2017-2022,,Deuxième décile,Yukon,Revenu par habitant,60,
2017-2022,,Troisième décile,Yukon,Revenu par habitant,60,
2017-2022,,Quatrième décile,Yukon,Revenu par habitant,60,
2017-2022,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,
2017-2022,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,
2017-2022,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2017-2022,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2017-2022,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,
2017-2022,,Total des déciles,Nunavut,Revenu par habitant,62,
2017-2022,,Décile inférieur,Nunavut,Revenu par habitant,62,
2017-2022,,Deuxième décile,Nunavut,Revenu par habitant,62,
2017-2022,,Troisième décile,Nunavut,Revenu par habitant,62,
2017-2022,,Quatrième décile,Nunavut,Revenu par habitant,62,
2018-2023,,Total des déciles,Canada,Revenu par habitant,,-0.531
2018-2023,,Décile inférieur,Canada,Revenu par habitant,,-0.874
2018-2023,,Deuxième décile,Canada,Revenu par habitant,,-0.249
2018-2023,,Troisième décile,Canada,Revenu par habitant,,-0.323
2018-2023,,Quatrième décile,Canada,Revenu par habitant,,-0.351
2018-2023,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.301
2018-2023,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.383
2018-2023,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.649
2018-2023,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.667
2018-2023,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.525
2018-2023,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-1.76
2018-2023,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,-3.491
2018-2023,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.31
2018-2023,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.454
2018-2023,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-0.674
2018-2023,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,-1.516
2018-2023,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,-2.262
2018-2023,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,-0.968
2018-2023,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,-1.137
2018-2023,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,-1.151
2018-2023,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,-1.163
2018-2023,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,-1.396
2018-2023,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,-1.106
2018-2023,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,-1.075
2018-2023,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,-0.909
2018-2023,,Total des déciles,Québec,Revenu par habitant,24,0.7
2018-2023,,Décile inférieur,Québec,Revenu par habitant,24,0.98
2018-2023,,Deuxième décile,Québec,Revenu par habitant,24,1.528
2018-2023,,Troisième décile,Québec,Revenu par habitant,24,1.348
2018-2023,,Quatrième décile,Québec,Revenu par habitant,24,1.042
2018-2023,,Total des déciles,Ontario,Revenu par habitant,35,-0.827
2018-2023,,Décile inférieur,Ontario,Revenu par habitant,35,-0.744
2018-2023,,Deuxième décile,Ontario,Revenu par habitant,35,-0.704
2018-2023,,Troisième décile,Ontario,Revenu par habitant,35,-0.733
2018-2023,,Quatrième décile,Ontario,Revenu par habitant,35,-0.779
2018-2023,,Total des déciles,Manitoba,Revenu par habitant,46,-0.899
2018-2023,,Décile inférieur,Manitoba,Revenu par habitant,46,-0.95
2018-2023,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.517
2018-2023,,Troisième décile,Manitoba,Revenu par habitant,46,-0.492
2018-2023,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.727
2018-2023,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.787
2018-2023,,Décile inférieur,Saskatchewan,Revenu par habitant,47,-0.262
2018-2023,,Deuxième décile,Saskatchewan,Revenu par habitant,47,-0.655
2018-2023,,Troisième décile,Saskatchewan,Revenu par habitant,47,-0.613
2018-2023,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.992
2018-2023,,Total des déciles,Alberta,Revenu par habitant,48,-1.856
2018-2023,,Décile inférieur,Alberta,Revenu par habitant,48,-4.564
2018-2023,,Deuxième décile,Alberta,Revenu par habitant,48,-2.021
2018-2023,,Troisième décile,Alberta,Revenu par habitant,48,-1.4
2018-2023,,Quatrième décile,Alberta,Revenu par habitant,48,-1.859
2018-2023,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.113
2018-2023,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,-2.211
2018-2023,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,-0.663
2018-2023,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,-0.465
2018-2023,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,-0.305
2018-2023,,Total des déciles,Yukon,Revenu par habitant,60,-1.687
2018-2023,,Décile inférieur,Yukon,Revenu par habitant,60,-4.447
2018-2023,,Deuxième décile,Yukon,Revenu par habitant,60,-1.859
2018-2023,,Troisième décile,Yukon,Revenu par habitant,60,-1.852
2018-2023,,Quatrième décile,Yukon,Revenu par habitant,60,-0.561
2018-2023,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,0.71
2018-2023,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,3.711
2018-2023,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,1.322
2018-2023,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,-0.628
2018-2023,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,1.116
2018-2023,,Total des déciles,Nunavut,Revenu par habitant,62,-0.633
2018-2023,,Décile inférieur,Nunavut,Revenu par habitant,62,3.85
2018-2023,,Deuxième décile,Nunavut,Revenu par habitant,62,0.386
2018-2023,,Troisième décile,Nunavut,Revenu par habitant,62,1.878
2018-2023,,Quatrième décile,Nunavut,Revenu par habitant,62,0.472
2019-2024,,Total des déciles,Canada,Revenu par habitant,,-0.583
2019-2024,,Décile inférieur,Canada,Revenu par habitant,,-1.411
2019-2024,,Deuxième décile,Canada,Revenu par habitant,,-0.869
2019-2024,,Troisième décile,Canada,Revenu par habitant,,-0.637
2019-2024,,Quatrième décile,Canada,Revenu par habitant,,-0.666
2019-2024,,Total des déciles,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.733
2019-2024,,Décile inférieur,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.25
2019-2024,,Deuxième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,0.749
2019-2024,,Troisième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.122
2019-2024,,Quatrième décile,Terre-Neuve-et-Labrador,Revenu par habitant,10,1.798
2019-2024,,Total des déciles,Île-du-Prince-Édouard,Revenu par habitant,11,-1.367
2019-2024,,Décile inférieur,Île-du-Prince-Édouard,Revenu par habitant,11,0.996
2019-2024,,Deuxième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.533
2019-2024,,Troisième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.827
2019-2024,,Quatrième décile,Île-du-Prince-Édouard,Revenu par habitant,11,-1.542
2019-2024,,Total des déciles,Nouvelle-Écosse,Revenu par habitant,12,-1.15
2019-2024,,Décile inférieur,Nouvelle-Écosse,Revenu par habitant,12,-0.97
2019-2024,,Deuxième décile,Nouvelle-Écosse,Revenu par habitant,12,-1.269
2019-2024,,Troisième décile,Nouvelle-Écosse,Revenu par habitant,12,-1.213
2019-2024,,Quatrième décile,Nouvelle-Écosse,Revenu par habitant,12,-1.256
2019-2024,,Total des déciles,Nouveau-Brunswick,Revenu par habitant,13,-0.983
2019-2024,,Décile inférieur,Nouveau-Brunswick,Revenu par habitant,13,-0.687
2019-2024,,Deuxième décile,Nouveau-Brunswick,Revenu par habitant,13,-1.509
2019-2024,,Troisième décile,Nouveau-Brunswick,Revenu par habitant,13,-1.7
2019-2024,,Quatrième décile,Nouveau-Brunswick,Revenu par habitant,13,-1.292
2019-2024,,Total des déciles,Québec,Revenu par habitant,24,0.396
2019-2024,,Décile inférieur,Québec,Revenu par habitant,24,1.288
2019-2024,,Deuxième décile,Québec,Revenu par habitant,24,0.801
2019-2024,,Troisième décile,Québec,Revenu par habitant,24,0.722
2019-2024,,Quatrième décile,Québec,Revenu par habitant,24,0.67
2019-2024,,Total des déciles,Ontario,Revenu par habitant,35,-0.574
2019-2024,,Décile inférieur,Ontario,Revenu par habitant,35,-2.554
2019-2024,,Deuxième décile,Ontario,Revenu par habitant,35,-1.066
2019-2024,,Troisième décile,Ontario,Revenu par habitant,35,-0.8
2019-2024,,Quatrième décile,Ontario,Revenu par habitant,35,-1.131
2019-2024,,Total des déciles,Manitoba,Revenu par habitant,46,-0.809
2019-2024,,Décile inférieur,Manitoba,Revenu par habitant,46,-0.611
2019-2024,,Deuxième décile,Manitoba,Revenu par habitant,46,-0.774
2019-2024,,Troisième décile,Manitoba,Revenu par habitant,46,-0.911
2019-2024,,Quatrième décile,Manitoba,Revenu par habitant,46,-0.991
2019-2024,,Total des déciles,Saskatchewan,Revenu par habitant,47,-0.459
2019-2024,,Décile inférieur,Saskatchewan,Revenu par habitant,47,0.409
2019-2024,,Deuxième décile,Saskatchewan,Revenu par habitant,47,-0.873
2019-2024,,Troisième décile,Saskatchewan,Revenu par habitant,47,-1.329
2019-2024,,Quatrième décile,Saskatchewan,Revenu par habitant,47,-0.84
2019-2024,,Total des déciles,Alberta,Revenu par habitant,48,-2.523
2019-2024,,Décile inférieur,Alberta,Revenu par habitant,48,-3.587
2019-2024,,Deuxième décile,Alberta,Revenu par habitant,48,-3.121
2019-2024,,Troisième décile,Alberta,Revenu par habitant,48,-2.669
2019-2024,,Quatrième décile,Alberta,Revenu par habitant,48,-2.838
2019-2024,,Total des déciles,Colombie-Britannique,Revenu par habitant,59,-0.5
2019-2024,,Décile inférieur,Colombie-Britannique,Revenu par habitant,59,-2.166
2019-2024,,Deuxième décile,Colombie-Britannique,Revenu par habitant,59,-1.003
2019-2024,,Troisième décile,Colombie-Britannique,Revenu par habitant,59,-0.637
2019-2024,,Quatrième décile,Colombie-Britannique,Revenu par habitant,59,-0.633
2019-2024,,Total des déciles,Yukon,Revenu par habitant,60,-1.983
2019-2024,,Décile inférieur,Yukon,Revenu par habitant,60,-3.09
2019-2024,,Deuxième décile,Yukon,Revenu par habitant,60,-2.351
2019-2024,,Troisième décile,Yukon,Revenu par habitant,60,-2.994
2019-2024,,Quatrième décile,Yukon,Revenu par habitant,60,-2.975
2019-2024,,Total des déciles,Territoires du Nord-Ouest,Revenu par habitant,61,2.068
2019-2024,,Décile inférieur,Territoires du Nord-Ouest,Revenu par habitant,61,12.121
2019-2024,,Deuxième décile,Territoires du Nord-Ouest,Revenu par habitant,61,3.683
2019-2024,,Troisième décile,Territoires du Nord-Ouest,Revenu par habitant,61,1.606
2019-2024,,Quatrième décile,Territoires du Nord-Ouest,Revenu par habitant,61,1.72
2019-2024,,Total des déciles,Nunavut,Revenu par habitant,62,-1.875
2019-2024,,Décile inférieur,Nunavut,Revenu par habitant,62,1.339
2019-2024,,Deuxième décile,Nunavut,Revenu par habitant,62,0.639
2019-2024,,Troisième décile,Nunavut,Revenu par habitant,62,-1.322
2019-2024,,Quatrième décile,Nunavut,Revenu par habitant,62,-1.274
