Year,Geography,Educational attainment level,Status,Sex,Age group,GeoCode,Value
2019,Nova Scotia,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,12,13
2019,Nova Scotia,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,51
2019,Nova Scotia,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,12,56
2019,Nova Scotia,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,32
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,24
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,12,22
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,12,28
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,12
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,12,13
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,12
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,12,8
2019,Nova Scotia,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,12,19
2019,Nova Scotia,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,11
2019,Nova Scotia,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,12,8
2019,Nova Scotia,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,12,13
2019,Nova Scotia,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,4
2019,Nova Scotia,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,12,6
2019,Nova Scotia,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,12,9
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",13,14
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",13,17
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",13,11
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,6
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,13,9
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,13,3
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,12
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,13,16
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,13,8
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,16
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,13,21
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,13,11
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,18
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,13,22
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,13,14
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,18
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,13,19
2019,New Brunswick,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,13,17
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",13,6
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",13,7
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",13,4
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,2
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,13,3
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,5
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,13,7
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,13,3
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,7
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,13,9
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,13,4
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,8
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,13,10
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,13,5
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,7
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,13,9
2019,New Brunswick,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,13,5
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",13,8
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",13,9
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",13,8
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,13,4
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,13,6
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,13,7
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,13,9
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,13,6
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,13,9
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,13,11
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,13,7
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,13,10
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,13,11
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,13,9
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,11
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,13,10
2019,New Brunswick,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,13,12
2019,New Brunswick,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,46
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,32
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,13,32
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,13,31
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,10
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,13,12
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,22
2019,New Brunswick,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,13,21
2019,New Brunswick,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,8
2019,New Brunswick,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,13,7
2019,New Brunswick,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,13,8
2019,New Brunswick,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,4
2019,New Brunswick,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,13,4
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",24,10
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",24,10
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",24,9
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,5
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,24,5
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,24,5
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,8
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,24,9
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,24,7
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,10
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,24,11
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,24,8
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,11
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,24,12
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,24,9
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,12
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,24,13
2019,Quebec,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,24,12
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",24,4
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",24,5
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",24,2
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,2
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,24,2
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,3
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,24,5
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,24,2
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,4
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,24,6
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,24,2
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,5
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,24,7
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,24,2
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,4
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,24,6
2019,Quebec,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,24,3
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",24,6
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",24,5
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",24,6
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,24,3
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,24,3
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,24,3
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,24,5
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,24,4
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,24,5
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,24,6
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,24,5
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,24,6
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,24,6
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,24,5
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,24,7
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,8
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,24,7
2019,Quebec,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,24,8
2019,Quebec,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,31
2019,Quebec,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,24,22
2019,Quebec,Below upper secondary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,24,40
2019,Quebec,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,24,7
2019,Quebec,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,25
2019,Quebec,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,24,15
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,16
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,24,19
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,24,11
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,6
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,24,8
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,10
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,24,10
2019,Quebec,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,24,8
2019,Quebec,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,7
2019,Quebec,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,24,6
2019,Quebec,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,24,8
2019,Quebec,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,3
2019,Quebec,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,24,3
2019,Quebec,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,24,3
2019,Quebec,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,24,4
2019,Quebec,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,24,5
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",35,11
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",35,12
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",35,11
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,6
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,35,7
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,35,5
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,10
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,35,10
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,35,9
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,12
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,35,13
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,35,11
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,13
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,35,13
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,20 to 24 years,35,12
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,15
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,25 to 29 years,35,14
2019,Ontario,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,25 to 29 years,35,15
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",35,4
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",35,5
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",35,3
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,2
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 19 years,35,3
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 19 years,35,1
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,4
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,15 to 24 years,35,5
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,15 to 24 years,35,2
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,5
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,18 to 24 years,35,7
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,18 to 24 years,35,3
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,5
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,20 to 24 years,35,7
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,20 to 24 years,35,3
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,5
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,35,6
2019,Ontario,"Total, all education levels","Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,35,4
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",35,7
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",35,6
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",35,8
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 19 years,35,4
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 19 years,35,4
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 19 years,35,3
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,15 to 24 years,35,6
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,15 to 24 years,35,5
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,15 to 24 years,35,6
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,18 to 24 years,35,7
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,18 to 24 years,35,6
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,18 to 24 years,35,8
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,20 to 24 years,35,8
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,20 to 24 years,35,6
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,20 to 24 years,35,9
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,10
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,35,8
2019,Ontario,"Total, all education levels","Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,35,11
2019,Ontario,Below upper secondary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,41
2019,Ontario,Below upper secondary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,35,44
2019,Ontario,Below upper secondary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,35,35
2019,Ontario,Below upper secondary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,7
2019,Ontario,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,34
2019,Ontario,Below upper secondary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,35,35
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,22
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,35,18
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,35,30
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,6
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,35,5
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,35,6
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,17
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,35,13
2019,Ontario,Upper secondary and post-secondary non-tertiary,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,35,24
2019,Ontario,Tertiary education,"Total, not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,10
2019,Ontario,Tertiary education,"Total, not in employment, education or training (NEET)",Males,25 to 29 years,35,8
2019,Ontario,Tertiary education,"Total, not in employment, education or training (NEET)",Females,25 to 29 years,35,11
2019,Ontario,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,5
2019,Ontario,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Males,25 to 29 years,35,6
2019,Ontario,Tertiary education,"Unemployed, Not in employment, education or training (NEET)",Females,25 to 29 years,35,4
2019,Ontario,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Both sexes,25 to 29 years,35,5
2019,Ontario,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Males,25 to 29 years,35,3
2019,Ontario,Tertiary education,"Not in the labour force, Not in employment, education or training (NEET)",Females,25 to 29 years,35,7
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,"Total, 15 to 29 years",46,13
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,"Total, 15 to 29 years",46,13
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,"Total, 15 to 29 years",46,13
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 19 years,46,8
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 19 years,46,9
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 19 years,46,7
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,15 to 24 years,46,12
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,15 to 24 years,46,13
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,15 to 24 years,46,10
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,18 to 24 years,46,15
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,18 to 24 years,46,17
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Females,18 to 24 years,46,14
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Both sexes,20 to 24 years,46,15
2019,Manitoba,"Total, all education levels","Total, not in employment, education or training (NEET)",Males,20 to 24 years,46,16
