Year,Discrimination Indicators,Geography,Gender,GeoCode,Value
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Ontario,Men,35,69.2
2024 Q3,Discrimination at work,Ontario,Men,35,43.3
2024 Q3,Discrimination at school,Ontario,Men,35,16.5
2024 Q3,Discrimination on the Internet,Ontario,Men,35,18.7
2024 Q3,Discrimination when interacting with the healthcare system,Ontario,Men,35,9.2
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Ontario,Men,35,50.0
2024 Q3,Discrimination by or among friends or family,Ontario,Men,35,21.6
2024 Q3,Discrimination while using public transit,Ontario,Men,35,17.9
2024 Q3,Discrimination in any other situation,Ontario,Men,35,19.5
2024 Q3,Experienced discrimination or unfair treatment in Canada,Ontario,Women,35,37.0
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Ontario,Women,35,63.0
2024 Q3,Discrimination at work,Ontario,Women,35,43.4
2024 Q3,Discrimination at school,Ontario,Women,35,19.5
2024 Q3,Discrimination on the Internet,Ontario,Women,35,19.3
2024 Q3,Discrimination when interacting with the healthcare system,Ontario,Women,35,22.0
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Ontario,Women,35,51.4
2024 Q3,Discrimination by or among friends or family,Ontario,Women,35,22.9
2024 Q3,Discrimination while using public transit,Ontario,Women,35,20.0
2024 Q3,Discrimination in any other situation,Ontario,Women,35,18.2
2024 Q3,Experienced discrimination or unfair treatment in Canada,Manitoba,Total,46,30.1
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Manitoba,Total,46,69.9
2024 Q3,Discrimination at work,Manitoba,Total,46,39.0
2024 Q3,Discrimination at school,Manitoba,Total,46,10.5
2024 Q3,Discrimination on the Internet,Manitoba,Total,46,18.2
2024 Q3,Discrimination when interacting with the healthcare system,Manitoba,Total,46,12.5
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Manitoba,Total,46,51.4
2024 Q3,Discrimination by or among friends or family,Manitoba,Total,46,19.2
2024 Q3,Discrimination while using public transit,Manitoba,Total,46,17.1
2024 Q3,Discrimination in any other situation,Manitoba,Total,46,14.8
2024 Q3,Experienced discrimination or unfair treatment in Canada,Manitoba,Men,46,27.8
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Manitoba,Men,46,72.2
2024 Q3,Discrimination at work,Manitoba,Men,46,44.9
2024 Q3,Discrimination on the Internet,Manitoba,Men,46,15.8
2024 Q3,Discrimination when interacting with the healthcare system,Manitoba,Men,46,9.0
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Manitoba,Men,46,49.0
2024 Q3,Discrimination by or among friends or family,Manitoba,Men,46,12.7
2024 Q3,Discrimination while using public transit,Manitoba,Men,46,23.7
2024 Q3,Discrimination in any other situation,Manitoba,Men,46,15.5
2024 Q3,Experienced discrimination or unfair treatment in Canada,Manitoba,Women,46,32.4
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Manitoba,Women,46,67.6
2024 Q3,Discrimination at work,Manitoba,Women,46,33.9
2024 Q3,Discrimination at school,Manitoba,Women,46,14.7
2024 Q3,Discrimination on the Internet,Manitoba,Women,46,20.3
2024 Q3,Discrimination when interacting with the healthcare system,Manitoba,Women,46,15.6
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Manitoba,Women,46,53.5
2024 Q3,Discrimination by or among friends or family,Manitoba,Women,46,24.9
2024 Q3,Discrimination while using public transit,Manitoba,Women,46,11.4
2024 Q3,Discrimination in any other situation,Manitoba,Women,46,14.2
2024 Q3,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Total,47,35.0
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Total,47,65.0
2024 Q3,Discrimination at work,Saskatchewan,Total,47,52.6
2024 Q3,Discrimination at school,Saskatchewan,Total,47,15.6
2024 Q3,Discrimination on the Internet,Saskatchewan,Total,47,24.2
2024 Q3,Discrimination when interacting with the healthcare system,Saskatchewan,Total,47,24.6
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Saskatchewan,Total,47,50.8
2024 Q3,Discrimination by or among friends or family,Saskatchewan,Total,47,24.5
2024 Q3,Discrimination while using public transit,Saskatchewan,Total,47,10.1
2024 Q3,Discrimination in any other situation,Saskatchewan,Total,47,20.1
2024 Q3,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Men,47,30.0
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Men,47,70.0
2024 Q3,Discrimination at work,Saskatchewan,Men,47,49.3
2024 Q3,Discrimination at school,Saskatchewan,Men,47,21.1
2024 Q3,Discrimination on the Internet,Saskatchewan,Men,47,16.4
2024 Q3,Discrimination when interacting with the healthcare system,Saskatchewan,Men,47,10.4
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Saskatchewan,Men,47,36.7
2024 Q3,Discrimination by or among friends or family,Saskatchewan,Men,47,17.0
2024 Q3,Discrimination while using public transit,Saskatchewan,Men,47,4.8
2024 Q3,Discrimination in any other situation,Saskatchewan,Men,47,17.3
2024 Q3,Experienced discrimination or unfair treatment in Canada,Saskatchewan,Women,47,40.2
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Saskatchewan,Women,47,59.8
2024 Q3,Discrimination at work,Saskatchewan,Women,47,55.1
2024 Q3,Discrimination at school,Saskatchewan,Women,47,11.2
2024 Q3,Discrimination on the Internet,Saskatchewan,Women,47,30.5
2024 Q3,Discrimination when interacting with the healthcare system,Saskatchewan,Women,47,35.9
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Saskatchewan,Women,47,62.1
2024 Q3,Discrimination by or among friends or family,Saskatchewan,Women,47,30.6
2024 Q3,Discrimination while using public transit,Saskatchewan,Women,47,14.4
2024 Q3,Discrimination in any other situation,Saskatchewan,Women,47,22.3
2024 Q3,Experienced discrimination or unfair treatment in Canada,Alberta,Total,48,38.0
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Alberta,Total,48,62.0
2024 Q3,Discrimination at work,Alberta,Total,48,45.5
2024 Q3,Discrimination at school,Alberta,Total,48,16.8
2024 Q3,Discrimination on the Internet,Alberta,Total,48,21.5
2024 Q3,Discrimination when interacting with the healthcare system,Alberta,Total,48,20.3
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Alberta,Total,48,52.6
2024 Q3,Discrimination by or among friends or family,Alberta,Total,48,24.6
2024 Q3,Discrimination while using public transit,Alberta,Total,48,15.8
2024 Q3,Discrimination in any other situation,Alberta,Total,48,16.6
2024 Q3,Experienced discrimination or unfair treatment in Canada,Alberta,Men,48,32.3
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Alberta,Men,48,67.7
2024 Q3,Discrimination at work,Alberta,Men,48,41.7
2024 Q3,Discrimination at school,Alberta,Men,48,15.7
2024 Q3,Discrimination on the Internet,Alberta,Men,48,20.6
2024 Q3,Discrimination when interacting with the healthcare system,Alberta,Men,48,12.8
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Alberta,Men,48,50.9
2024 Q3,Discrimination by or among friends or family,Alberta,Men,48,27.0
2024 Q3,Discrimination while using public transit,Alberta,Men,48,14.3
2024 Q3,Discrimination in any other situation,Alberta,Men,48,20.6
2024 Q3,Experienced discrimination or unfair treatment in Canada,Alberta,Women,48,43.7
2024 Q3,Did not experience discrimination or unfair treatment in Canada,Alberta,Women,48,56.3
2024 Q3,Discrimination at work,Alberta,Women,48,48.4
2024 Q3,Discrimination at school,Alberta,Women,48,17.6
2024 Q3,Discrimination on the Internet,Alberta,Women,48,22.1
2024 Q3,Discrimination when interacting with the healthcare system,Alberta,Women,48,26.1
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",Alberta,Women,48,53.9
2024 Q3,Discrimination by or among friends or family,Alberta,Women,48,22.7
2024 Q3,Discrimination while using public transit,Alberta,Women,48,17.0
2024 Q3,Discrimination in any other situation,Alberta,Women,48,13.6
2024 Q3,Experienced discrimination or unfair treatment in Canada,British Columbia,Total,59,35.7
2024 Q3,Did not experience discrimination or unfair treatment in Canada,British Columbia,Total,59,64.3
2024 Q3,Discrimination at work,British Columbia,Total,59,36.8
2024 Q3,Discrimination at school,British Columbia,Total,59,15.8
2024 Q3,Discrimination on the Internet,British Columbia,Total,59,20.2
2024 Q3,Discrimination when interacting with the healthcare system,British Columbia,Total,59,18.3
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",British Columbia,Total,59,60.2
2024 Q3,Discrimination by or among friends or family,British Columbia,Total,59,17.2
2024 Q3,Discrimination while using public transit,British Columbia,Total,59,22.1
2024 Q3,Discrimination in any other situation,British Columbia,Total,59,21.5
2024 Q3,Experienced discrimination or unfair treatment in Canada,British Columbia,Men,59,31.7
2024 Q3,Did not experience discrimination or unfair treatment in Canada,British Columbia,Men,59,68.3
2024 Q3,Discrimination at work,British Columbia,Men,59,41.0
2024 Q3,Discrimination at school,British Columbia,Men,59,20.0
2024 Q3,Discrimination on the Internet,British Columbia,Men,59,27.4
2024 Q3,Discrimination when interacting with the healthcare system,British Columbia,Men,59,13.9
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",British Columbia,Men,59,59.1
2024 Q3,Discrimination by or among friends or family,British Columbia,Men,59,19.5
2024 Q3,Discrimination while using public transit,British Columbia,Men,59,26.0
2024 Q3,Discrimination in any other situation,British Columbia,Men,59,23.0
2024 Q3,Experienced discrimination or unfair treatment in Canada,British Columbia,Women,59,39.4
2024 Q3,Did not experience discrimination or unfair treatment in Canada,British Columbia,Women,59,60.6
2024 Q3,Discrimination at work,British Columbia,Women,59,33.6
2024 Q3,Discrimination at school,British Columbia,Women,59,12.6
2024 Q3,Discrimination on the Internet,British Columbia,Women,59,14.6
2024 Q3,Discrimination when interacting with the healthcare system,British Columbia,Women,59,21.8
2024 Q3,"Discrimination in public areas, a store, bank or restaurant",British Columbia,Women,59,61.0
2024 Q3,Discrimination by or among friends or family,British Columbia,Women,59,15.4
2024 Q3,Discrimination while using public transit,British Columbia,Women,59,19.0
2024 Q3,Discrimination in any other situation,British Columbia,Women,59,20.4
